event_time,trip_id,stop_sequence,ron,fon,roff,foff
2019-09-04 02:25:54,911234020,3,0,0,0,0
2019-09-04 02:26:04,911234020,4,0,0,0,0
2019-09-04 02:26:14,911234020,5,0,0,0,0
2019-09-04 02:29:17,911234020,14,0,0,0,0
2019-09-04 02:29:33,911234020,15,0,0,0,0
2019-09-04 02:29:52,911234020,16,0,0,0,0
2019-09-04 02:30:11,911234020,17,0,0,0,0
2019-09-04 02:30:24,911234020,18,0,0,0,0
2019-09-04 02:30:35,911234020,19,0,0,0,0
2019-09-04 00:40:16,911231020,43,0,0,0,0
2019-09-04 00:40:55,911231020,44,0,0,0,0
2019-09-04 00:41:13,911231020,44,0,0,1,0
2019-09-04 00:41:31,911231020,45,0,0,0,0
2019-09-04 00:41:51,911231020,45,0,0,0,1
2019-09-04 00:42:10,911231020,46,0,0,0,0
2019-09-04 00:42:25,911231020,47,0,0,0,0
2019-09-04 02:16:42,911229020,48,0,0,0,0
2019-09-04 02:17:20,911229020,49,0,0,0,0
2019-09-04 02:17:42,911229020,50,0,0,0,0
2019-09-04 02:17:54,911229020,51,0,0,0,0
2019-09-04 00:23:35,911231020,15,0,1,0,0
2019-09-04 00:24:24,911231020,16,0,0,0,0
2019-09-04 00:24:50,911231020,17,0,2,0,0
2019-09-04 00:25:45,911231020,18,0,0,0,3
2019-09-04 00:26:43,911231020,19,0,0,0,0
2019-09-04 02:01:26,911229020,22,0,0,0,0
2019-09-04 02:01:51,911229020,23,0,0,0,0
2019-09-04 02:02:06,911229020,24,0,0,0,0
2019-09-04 02:02:17,911229020,25,0,0,0,0
2019-09-04 02:02:30,911229020,25,0,1,0,0
2019-09-04 02:02:59,911229020,26,0,0,0,0
2019-09-04 02:03:21,911229020,27,0,0,0,0
2019-09-04 02:03:36,911229020,28,0,0,0,0
2019-09-04 00:45:53,911231020,54,0,0,0,0
2019-09-04 00:46:35,911231020,55,0,0,0,0
2019-09-04 00:47:03,911231020,55,0,0,1,2
2019-09-04 00:47:13,911231020,56,0,0,0,0
2019-09-04 00:47:31,911231020,57,0,0,0,0
2019-09-04 00:47:51,911231020,58,0,0,0,1
2019-09-04 00:48:17,911231020,59,0,0,0,0
2019-09-04 02:23:42,911229020,59,0,0,0,0
2019-09-04 00:27:02,911231020,20,0,0,0,0
2019-09-04 00:27:16,911231020,21,0,0,0,0
2019-09-04 00:27:38,911231020,22,0,0,0,0
2019-09-04 00:28:15,911231020,23,0,0,0,0
2019-09-04 00:28:34,911231020,23,0,0,1,0
2019-09-04 00:28:56,911231020,24,0,0,0,0
2019-09-04 00:29:09,911231020,25,0,0,0,0
2019-09-04 02:04:14,911229020,29,0,0,0,0
2019-09-04 02:04:37,911229020,30,0,0,0,0
2019-09-04 02:05:06,911229020,31,0,0,0,0
2019-09-04 02:05:52,911229020,32,0,0,0,0
2019-09-04 02:06:23,911229020,33,0,0,0,0
2019-09-04 02:06:40,911229020,33,0,1,0,0
2019-09-04 02:06:59,911229020,34,0,0,0,0
2019-09-04 02:25:17,911229020,62,0,0,0,3
2019-09-04 02:25:27,911234020,1,0,0,0,0
2019-09-04 00:00:10,911230020,53,0,0,0,0
2019-09-04 00:00:51,911230020,53,0,0,1,0
2019-09-04 00:01:18,911230020,54,0,0,0,0
2019-09-04 00:01:39,911230020,55,0,0,0,0
2019-09-04 00:02:46,911230020,55,0,3,0,0
2019-09-04 00:34:46,911231020,35,0,0,0,0
2019-09-04 00:35:05,911231020,35,0,2,1,1
2019-09-04 00:35:35,911231020,36,0,0,0,0
2019-09-04 00:35:49,911231020,37,0,0,0,0
2019-09-04 02:10:40,911229020,39,0,0,0,0
2019-09-04 02:11:04,911229020,40,0,0,0,0
2019-09-04 02:11:16,911229020,40,0,0,0,1
2019-09-04 02:11:40,911229020,40,0,5,0,0
2019-09-04 00:37:59,911231020,40,0,0,0,0
2019-09-04 00:38:31,911231020,40,0,1,0,1
2019-09-04 00:39:02,911231020,41,0,0,0,0
2019-09-04 00:39:32,911231020,42,0,0,0,0
2019-09-04 02:14:46,911229020,44,0,0,0,0
2019-09-04 02:15:08,911229020,45,0,0,0,0
2019-09-04 02:15:22,911229020,46,0,0,0,0
2019-09-04 02:15:34,911229020,47,0,0,0,0
2019-09-04 02:16:01,911229020,48,0,0,0,0
2019-09-04 00:36:50,911231020,38,0,0,0,0
2019-09-04 00:37:13,911231020,38,0,1,0,0
2019-09-04 00:37:31,911231020,39,0,0,0,0
2019-09-04 07:46:38,911004030,18,0,6,0,1
2019-09-04 07:47:40,911004030,19,0,4,0,3
2019-09-04 07:49:01,911004030,20,0,0,0,0
2019-09-04 07:49:11,911004030,20,0,3,0,0
2019-09-04 07:49:47,911004030,20,0,1,0,0
2019-09-04 07:50:25,911004030,21,0,0,0,0
2019-09-04 07:50:46,911004030,22,0,0,2,6
2019-09-04 07:52:15,911004030,23,0,0,0,0
2019-09-04 07:52:28,911004030,23,0,1,0,0
2019-09-04 09:21:11,911005030,30,0,2,0,0
2019-09-04 09:21:56,911005030,31,0,1,1,1
2019-09-04 09:22:57,911005030,32,0,2,0,2
2019-09-04 09:24:06,911005030,33,0,1,0,0
2019-09-04 09:25:05,911005030,34,0,3,0,3
2019-09-04 00:11:35,911009030,6,0,2,0,0
2019-09-04 00:11:53,911009030,7,0,0,0,0
2019-09-04 00:12:08,911009030,8,0,0,1,0
2019-09-04 00:13:05,911009030,9,0,0,0,0
2019-09-04 00:13:20,911009030,10,0,0,0,0
2019-09-04 01:20:24,911010030,42,0,1,0,0
2019-09-04 01:21:01,911010030,43,0,0,0,0
2019-09-04 01:21:21,911010030,43,0,0,0,0
2019-09-04 01:21:58,911010030,44,0,0,0,0
2019-09-04 01:22:19,911010030,45,0,0,0,0
2019-09-04 01:22:37,911010030,46,0,0,0,0
2019-09-04 01:22:55,911010030,47,0,0,0,0
2019-09-04 03:17:04,910996030,8,0,0,0,0
2019-09-04 03:18:26,910996030,9,0,1,0,0
2019-09-04 03:19:22,910996030,10,0,0,0,0
2019-09-04 06:47:46,911003030,15,0,0,0,0
2019-09-04 06:48:14,911003030,16,0,0,1,1
2019-09-04 08:04:32,911004030,36,0,1,0,0
2019-09-04 08:06:59,911004030,37,0,3,0,3
2019-09-04 08:07:57,911004030,37,0,3,0,0
2019-09-04 08:08:22,911004030,38,0,0,0,0
2019-09-04 08:08:49,911004030,39,0,0,0,0
2019-09-04 08:09:11,911004030,40,0,0,0,0
2019-09-04 08:09:38,911004030,40,0,0,1,0
2019-09-04 07:17:32,911003030,58,0,0,0,0
2019-09-04 08:52:32,911005030,4,0,4,0,0
2019-09-04 08:53:58,911005030,5,0,5,0,0
2019-09-04 08:57:47,911005030,6,0,1,1,0
2019-09-04 08:58:42,911005030,7,0,1,3,1
2019-09-04 03:12:32,910996030,3,0,0,0,0
2019-09-04 03:13:29,910996030,4,0,3,0,0
2019-09-04 03:15:03,910996030,5,0,0,0,0
2019-09-04 03:15:42,910996030,6,0,0,0,0
2019-09-04 03:16:45,910996030,7,0,0,0,0
2019-09-04 04:12:15,911001030,37,0,0,1,0
2019-09-04 04:13:13,911001030,38,0,0,0,0
2019-09-04 04:13:43,911001030,39,0,0,0,0
2019-09-04 04:14:03,911001030,40,0,0,0,0
2019-09-04 04:14:26,911001030,41,0,0,0,0
2019-09-04 04:14:42,911001030,42,0,0,0,0
2019-09-04 03:19:48,910996030,10,0,1,0,0
2019-09-04 03:20:02,910996030,11,0,0,0,0
2019-09-04 03:20:32,910996030,12,0,0,0,0
